feature,weight,abs_weight
V4,0.9315056300491237,0.9315056300491237
V10,-0.6396914126941996,0.6396914126941996
V14,-0.6187156491120606,0.6187156491120606
V13,-0.4573154759044329,0.4573154759044329
V22,0.44261760589677096,0.44261760589677096
V9,-0.3064392814164779,0.3064392814164779
V21,0.2689034397784103,0.2689034397784103
V16,-0.264992655340596,0.264992655340596
V20,-0.223453783269504,0.223453783269504
V8,-0.20031226105869496,0.20031226105869496
V27,-0.18300717778012543,0.18300717778012543
V15,-0.14872314988839708,0.14872314988839708
V5,0.10535895807588729,0.10535895807588729
Amount,0.09030963979328675,0.09030963979328675
V23,-0.08218937159851333,0.08218937159851333
V7,-0.07674327303670461,0.07674327303670461
V1,0.06262166483208728,0.06262166483208728
V6,-0.06116622406419413,0.06116622406419413
V11,-0.05531155632911602,0.05531155632911602
V2,-0.04233296890468163,0.04233296890468163
V28,-0.038397259049787386,0.038397259049787386
V24,0.03190925468335577,0.03190925468335577
V3,-0.02893005449091338,0.02893005449091338
V26,0.019217783236569662,0.019217783236569662
Time,-0.01870220123688757,0.01870220123688757
V17,0.012626122659320616,0.012626122659320616
V19,-0.010214185031665862,0.010214185031665862
V25,-0.007388026203294606,0.007388026203294606
V12,0.006669764855820402,0.006669764855820402
V18,0.003240004121366699,0.003240004121366699
